unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
198,The Starry Night,10,"This painting makes me feel wide awake and emotional at the same time—like my thoughts are moving fast, but there’s also a deep calm underneath.

 ",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,20,4,9000000,Living room,"Friends,Family members,By yourself",Summer,It would be blueberry lemon cheesecake,"It would be a soaring, spinning piece of music that feels both emotional and unstoppable."
199,The Starry Night,6,"Tired, isolated",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,2,2,"$1,000","Bedroom,Living room",Friends,"Spring,Winter",Clam chowder,"Calm, electronic music"
200,The Starry Night,6,Cold,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,3,2,0,Living room,By yourself,Summer,Pizza,Sombre
201,The Starry Night,5,It makes me feel comfortable and calm and a bit dizzy.,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,2,10000,"Bedroom,Bathroom","Friends,Family members",Winter,Ice cream,Classic music
202,The Starry Night,3,"I feel at peace, wondrous, and infinite. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,2,$50,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Winter,Spaghetti,Relaxing staccato chimes and piano melody that lull you to sleep. 
203,The Starry Night,5,The painting makes me feel like I am sitting in front of a warm campfire during the winter.,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,4,4,I would pay 400 dollars for this painting.,"Bedroom,Living room","Friends,Family members,By yourself",Winter,A warm bowl of dumpling soup.,"A melodic guitar piece with a warm melody, but with a series of sad notes at the end."
204,The Starry Night,8,"This painting fills me with a sense of wonder and awe. The swirling movement in the sky creates a feeling of energy and dynamism, almost as if the universe is alive and breathing. It's both peaceful and exhilarating at the same time - the quiet village below contrasts beautifully with the turbulent, magical sky above.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4,7,75000,Bedroom,Family members,Winter,"Blueberry pie with whipped cream and a dusting of golden sugar stars - rich, deep blue swirls with bright yellow accents, both comforting and magical.","A sweeping orchestral piece that builds from soft, peaceful strings into a magnificent crescendo. Violins swirl upward in spiraling phrases, with bright brass punctuating moments of wonder. The music has a sense of movement and energy, yet underlying it all is a gentle, comforting melody that evokes quiet contemplation of something vast and beautiful."
205,The Starry Night,8,Content and grateful for the world and peaceful. Makes me appreciate the world as is and find beauty in it.,2 - Disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,5,3,10000,"Bedroom,Living room","Friends,Family members",Winter,Blueberry vanilla cake,"Wandering gentle flute melody beneath warm orchestral string swells, with no predictable rhythm or phrasing for the melody. Also have fluttering and soft piano arpeggios and runs that come in and out"
206,The Starry Night,9,"I felt the grandeur, the rhythm of celestial bodies, and the passage of time. It captured the beauty of the stars' movement. The colors are harmoniously applied, instantly immersing you in the scene.",2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,5,1000000,"Bedroom,Living room","Friends,By yourself","Summer,Winter",Cake,"The soundtrack carries a cool undertone while radiating a warm power. It draws our attention to that place where, sitting there, I can hear the wind and feel time shifting. It resembles natural sounds, tinged with just a hint of human noise."
207,The Starry Night,6,"it feels quiet, calm, and slightly mystical or dreamy like a little unreal",4 - Agree,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,$150,"Bedroom,Bathroom,Office","Friends,Family members,Strangers","Spring,Summer",starfruit,"it would be slow and flowing, but rich in sound like a violin"
208,The Starry Night,3,Chill,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,3,25,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Pepperoni pizza,sounds like a lullaby with piano and harp
209,The Starry Night,1,"dull, uninterested, mystical (but not really)",1 - Strongly disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,1 - Strongly disagree,3,2,0,"Living room,Dining room",Family members,Fall,French onion soup,Debussy-esque but strong tonal centre; lush harmonies but texturally sparse; perhaps solo piano
210,The Starry Night,5,"happy, calm, peaceful, simply enjoying.

It makes me sleepy.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,6,500,"Bedroom,Living room","Friends,Family members,Strangers,By yourself","Spring,Summer","hot soup that has a rich flavor, like the best Cream of Mushroom Soup.","Melodious, beautiful, and mostly calm."
211,The Starry Night,8,"Joyful and calm, like the feeling of sailing in a small vessel in the middle of the sea during the night, watching endless sky.",4 - Agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,7,"10,000,000","Bedroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Fall",Omelette,"Quiet tone, slow music, and no lyrics."
212,The Starry Night,4,"I've seen this painting a lot, so it's not very strong in conveying a new emotion to me. The painting is very beautiful, and grounds me into the beauty of the universe and how free-flowing it can feel.",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,4,2,"Given how famous it is, it would be an amazing status symbol, and the painting itself is already worth millions of dollars. I'd pay probably my entire savings for it; I know it could sell for more.","Living room,Dining room","Friends,Family members",Winter,It would be a deluxe steak with caviar.,"Given how famous through time this painting is, I think of classical pieces like Mozart, with the romantic era feeling of flowing music, just like how the lines and the overall feeling of the painting acts as flowy lines."
213,The Starry Night,5,It makes me feel serene and calm.,3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,2 - Disagree,3,2,250,"Bedroom,Bathroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Bread,"The soundtrack will have very calm and faint music, with soft breezing wind in the background."
214,The Starry Night,9,"Calm, intrigued and a bit weird",3 - Neutral/Unsure,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,5,80 000,Bedroom,By yourself,Winter,A night sandwich,"Slow, calm and experimental"
215,The Starry Night,2,peaceful,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,4,500,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself",Fall,cake,light wind breezing
216,The Starry Night,10,Attracted,5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,4 - Agree,3,2,200,Bedroom,"Friends,By yourself",Winter,sandwich,Piano
217,The Starry Night,9,"The painting makes me feel in awe of the beauty of the pictured night sky. It also gives me a sublime feeling, imagining the possibilities in the night sky.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,3,4,100,"Bedroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Winter",Cinnamon Bun,"The soundtrack would consist of jazz music. The jazz would be upbeat, music that one could dance to."
218,The Starry Night,6,This painting makes me feel peaceful.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,2,1000,Bedroom,"Friends,Family members,Coworkers/Classmates",Summer,Soda pop.,"Under the calm, there are faint, scattered sounds. There are soft voices in the distance. Everything feels gentle and far away.

If there were music, it would be slow and warm, like a peaceful lullaby."
219,The Starry Night,10,It makes me feel very powerful but still very abstract.,2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,5,2,875000000,Bedroom,"Friends,Family members",Winter,Blueberry,Swelling and emotional
220,The Starry Night,7,"This painting makes me feel calm and peaceful, as if everything has slowed down and settled into a quiet moment. The soft glow of the night sky above the town creates a comforting and gentle atmosphere that feels safe and serene. It reminds me of warm childhood summer nights when everything felt simple and carefree. Looking at it gives me a sense of relief, like there is no pressure or stress, only stillness and beauty. Overall, the painting fills me with happiness and emotional comfort, making me feel relaxed and at ease.",3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4,3,10000,Bedroom,"Friends,Family members",Summer,a bowl of hot chicken noodle soup,"I imagine the soundtrack as a peaceful string sonata, built on soft, warm harmonies that flow gently with a steady and calming rhythm. The music would have clear structure and graceful movements, creating a sense of balance and emotional stability. Smooth, pleasing melodies would drift delicately, sounding sweet and dolce, filling the atmosphere with warmth and serenity. As it develops, the tones would swell slightly with tender emotion while remaining harmonious and soothing, like a comforting memory unfolding slowly and peacefully."
221,The Starry Night,2,It makes me feel whimsically sad. The blue swirls make me feel like I'm floating but the dark blue colors bring my mood down  ,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,3,4,2000,"Bathroom,Living room","Friends,By yourself",Winter,Clam chowder soup,"This would be not a song, but the sound of wind blowing in the trees in a cold empty feeling"
1,The Water Lily Pond,,,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,,,,,,,,Something fairly dreamy 
2,The Water Lily Pond,,,,,,,,,,,,,,
3,The Water Lily Pond,7,"It makes me feel warm, and reminds of my childhood.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,$20,,,,,
4,The Water Lily Pond,,,,,,,,,,,,,,
5,The Water Lily Pond,5,"It is pretty neutral, maybe some happiness childhood like.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,4,2,100,"Bedroom,Living room,Dining room",By yourself,"Spring,Summer","Milk and biscuits, something refreshi","Jazzy music, happy upbeat. or piano debussy."
6,The Water Lily Pond,4,"It makes me feel happy and at ease, as if nothing in the world could stress or concern me, and only the current moment matters.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,60000,"Bedroom,Bathroom","Friends,Family members",Spring,"A refreshing drink, like cold water","It would be joyous, serene, and slow."
7,The Water Lily Pond,6,"Naturalistic, and fresh",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,1,100,Bedroom,"Friends,Family members",Spring,Ramen,"Orchestra, bossa nova"
8,The Water Lily Pond,2,The painting makes me feel somewhat calm.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,5,200,Living room,By yourself,Spring,A vibrant set of cookies and biscuits.,"Very calm, upbeat melody. Something similar to Erik Satie's Le Piccadilly."
9,The Water Lily Pond,6,nostalgic,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,50000,Bedroom,Friends,Spring,fruit platter,studio ghibli ost
10,The Water Lily Pond,9,It makes me feel calm and immersed. I can remember many times being in the same setting as the painting. It brings a lot memories of the late spring.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,100000,Bedroom,By yourself,Spring,Oven cooked mutton,The soundtrack would be cheerful and pleasant. it would include sounds from nature and be very high and light
11,The Water Lily Pond,8,Happy,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,1,500,"Office,Living room",By yourself,"Spring,Summer",Salad,upbeat
12,The Water Lily Pond,1,"Happy, prosperity.",1 - Strongly disagree,4 - Agree,2 - Disagree,1 - Strongly disagree,1,1,1000,Living room,"Friends,Family members,Coworkers/Classmates","Spring,Summer",A cake.,Some music for natural scenes.
13,The Water Lily Pond,7,I feel joy and calm.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,4,2 000 000$,"Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",caesar salad,"more joyful, calm, and high pitch soundtrack using flute and clarinet."
14,The Water Lily Pond,6,"The painting makes me feel warm, happy, and content with my life. A feeling of the lack of distraction produced by the isolation of the pleasing location and cozy lighting.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,4,10000,"Office,Living room","Friends,Family members,Coworkers/Classmates","Spring,Summer",Christmas porridge,"Average rhythm, dominated by mild melody, but paired with distinct high pitched themes. The harmony does not stand out distinctively. "
15,The Water Lily Pond,5,It makes me feel calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,2000000,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Spring,A salad.,"Maybe a bit upbeat, but not very fast and still probably quite slow and quiet."
16,The Water Lily Pond,4,"This painting makes me feel girly. I feel like I would have a picnic with friends in pretty fancy dresses, eating gourmet cakes and deserts.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,1,3000000,"Office,Living room",By yourself,Spring,Cake with ribbons,I think it would sound magical with twinkling sounds. I think it would be calm and include some bird sounds too.
17,The Water Lily Pond,6,This painting make me feel calm and quiet. Everything feel soft and slow. It make my brain rest a little.,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,5,80,Living room,Family members,Spring,Matcha cake,The soundtrack is very soft and smooth. Sound feel gentle and slow.
